Locality Name,"Post
Code","Municipality
Name","Ward
Name",LGA,"District
Name","District
Code","Region
Name","Region
Code","Property
Count","Elector
Count"
Albion,3020,Brimbank City Council,Harvester,54202,Derrimut,25,Western Metropolitan,7,2084,2494
Alexandra,3714,Murrindindi Shire Council,Koriella,53006,Benalla,8,Northern Victoria,4,18,44
Alexandra,3714,Murrindindi Shire Council,Koriella,53006,Seymour,78,Northern Victoria,4,7,13
Alexandra,3714,Murrindindi Shire Council,Red Gate,53007,Benalla,8,Northern Victoria,4,5,6
Alexandra,3714,Murrindindi Shire Council,Red Gate,53007,Seymour,78,Northern Victoria,4,1291,1939
Alfredton,3350,Ballarat City Council,Central,50301,Ballarat West,4,Western Victoria,8,642,928
Alfredton,3350,Ballarat City Council,North,50302,Ballarat West,4,Western Victoria,8,2366,4524
Alfredton,3350,Ballarat City Council,South,50303,Ballarat West,4,Western Victoria,8,3,1
Allambee,3823,Baw Baw Shire Council,Mount Worth,53502,Narracan,62,Eastern Victoria,2,19,31
Allambee Reserve,3871,Baw Baw Shire Council,Mount Worth,53502,Narracan,62,Eastern Victoria,2,19,26
Allambee Reserve,3871,South Gippsland Shire Council,Tarwin Valley,53803,Gippsland South,37,Eastern Victoria,2,5,6
Allambee South,3871,South Gippsland Shire Council,Tarwin Valley,53803,Gippsland South,37,Eastern Victoria,2,28,50
Allans Flat,3691,Indigo Shire Council,Unsubdivided,52601,Benambra,9,Northern Victoria,4,98,210
Allansford,3277,Moyne Shire Council,Unsubdivided,51801,South-West Coast,81,Western Victoria,8,97,181
Allansford,3277,Warrnambool City Council,Unsubdivided,52101,South-West Coast,81,Western Victoria,8,429,847
Allendale,3364,Hepburn Shire Council,Creswick,56404,Ripon,74,Western Victoria,8,72,128
Allestree,3305,Glenelg Shire Council,Unsubdivided,51701,South-West Coast,81,Western Victoria,8,79,106
Alma,3465,Central Goldfields Shire Council,Paddys Ranges,56303,Ripon,74,Western Victoria,8,89,138
Almonds,3727,Moira Shire Council,Unsubdivided,52901,Murray Valley,61,Northern Victoria,4,7,15
Almurta,3979,Bass Coast Shire Council,Leadbeater,53404,Bass,5,Eastern Victoria,2,25,39
Alphington,3078,Darebin City Council,Rucker,50803,Northcote,67,Northern Metropolitan,3,1226,2080
Alphington,3078,Yarra City Council,Langridge,51301,Northcote,67,Northern Metropolitan,3,858,1323
Altona,3018,Hobsons Bay City Council,Cherry Lake,50901,Altona,2,Western Metropolitan,7,4981,7335
Altona Meadows,3028,Hobsons Bay City Council,Cherry Lake,50901,Altona,2,Western Metropolitan,7,276,511
Altona Meadows,3028,Hobsons Bay City Council,Wetlands,50903,Altona,2,Western Metropolitan,7,7156,12233
Altona North,3025,Hobsons Bay City Council,Cherry Lake,50901,Williamstown,86,Western Metropolitan,7,3868,5954
Altona North,3025,Hobsons Bay City Council,Strand,50902,Williamstown,86,Western Metropolitan,7,945,1512
Alvie,3249,Colac Otway Shire Council,Unsubdivided,51501,Polwarth,70,Western Victoria,8,64,96
Amherst,3371,Central Goldfields Shire Council,Paddys Ranges,56303,Ripon,74,Western Victoria,8,39,58
Amor,3825,Baw Baw Shire Council,North,53503,Narracan,62,Eastern Victoria,2,1,1
Amphitheatre,3468,Pyrenees Shire Council,Avoca,51901,Ripon,74,Western Victoria,8,15,24
Amphitheatre,3468,Pyrenees Shire Council,De Cameron,51903,Ripon,74,Western Victoria,8,94,148
Amphitheatre,3468,Pyrenees Shire Council,Ercildoune,51904,Ripon,74,Western Victoria,8,7,17
Anakie,3213,Golden Plains Shire Council,Unsubdivided,50501,Ballarat East,3,Western Victoria,8,27,61
Anakie,3213,Greater Geelong City Council,Windermere,50612,Lara,45,Western Victoria,8,254,458
Ancona,3715,Mansfield Shire Council,Bonnie Doon,58001,Benalla,8,Northern Victoria,4,32,53
Anderson,3995,Bass Coast Shire Council,Anderson,53401,Bass,5,Eastern Victoria,2,12,23
Anglers Rest,3898,East Gippsland Shire Council,Unsubdivided,53601,Gippsland East,36,Eastern Victoria,2,9,13
Anglesea,3230,Surf Coast Shire Council,Anglesea,50101,Polwarth,70,Western Victoria,8,1882,2037
Annuello,3549,Swan Hill Rural City Council,Murray-Mallee,57003,Mildura,52,Northern Victoria,4,18,35
Antwerp,3414,Hindmarsh Shire Council,East,57301,Lowan,46,Western Victoria,8,10,16
Antwerp,3414,Hindmarsh Shire Council,North,57302,Lowan,46,Western Victoria,8,19,27
Apollo Bay,3233,Colac Otway Shire Council,Unsubdivided,51501,Polwarth,70,Western Victoria,8,1055,1158
Appin,3579,Gannawarra Shire Council,Avoca,57201,Swan Hill,82,Northern Victoria,4,9,13
Appin South,3579,Gannawarra Shire Council,Avoca,57201,Swan Hill,82,Northern Victoria,4,2,5
Appin South,3579,Gannawarra Shire Council,Patchell,57203,Swan Hill,82,Northern Victoria,4,4,4
Appin South,3579,Loddon Shire Council,Boort,56501,Swan Hill,82,Northern Victoria,4,14,16
Apsley,3319,West Wimmera Shire Council,Unsubdivided,57501,Lowan,46,Western Victoria,8,160,260
Arapiles,3409,Horsham Rural City Council,Unsubdivided,56801,Lowan,46,Western Victoria,8,7,11
Ararat,3377,Ararat Rural City Council,Unsubdivided,51401,Lowan,46,Western Victoria,8,1,1
Ararat,3377,Ararat Rural City Council,Unsubdivided,51401,Ripon,74,Western Victoria,8,3571,5409
Arawata,3951,South Gippsland Shire Council,Strzelecki,53802,Gippsland South,37,Eastern Victoria,2,52,77
Arcadia,3631,Greater Shepparton City Council,Unsubdivided,52501,Benalla,8,Northern Victoria,4,73,113
Arcadia,3631,Greater Shepparton City Council,Unsubdivided,52501,Shepparton,79,Northern Victoria,4,24,36
Arcadia South,3631,Strathbogie Shire Council,Honeysuckle Creek,53101,Benalla,8,Northern Victoria,4,3,6
Arcadia South,3631,Strathbogie Shire Council,Lake Nagambie,53103,Benalla,8,Northern Victoria,4,27,53
Archdale,3475,Central Goldfields Shire Council,Flynn,56301,Ripon,74,Western Victoria,8,14,21
Archdale,3475,Northern Grampians Shire Council,Kara Kara,57402,Swan Hill,82,Northern Victoria,4,4,7
Archdale Junction,3475,Central Goldfields Shire Council,Flynn,56301,Ripon,74,Western Victoria,8,7,8
Archerton,3723,Benalla Rural City Council,Unsubdivided,57901,Benalla,8,Northern Victoria,4,3,6
Archerton,3723,Wangaratta Rural City Council,Unsubdivided,52701,Benalla,8,Northern Victoria,4,2,2
Archies Creek,3995,Bass Coast Shire Council,Leadbeater,53404,Bass,5,Eastern Victoria,2,24,32
Ardeer,3022,Brimbank City Council,Harvester,54202,Derrimut,25,Western Metropolitan,7,1191,1767
Ardmona,3629,Greater Shepparton City Council,Unsubdivided,52501,Shepparton,79,Northern Victoria,4,181,316
Areegra,3480,Yarriambiack Shire Council,Warracknabeal,57603,Swan Hill,82,Northern Victoria,4,12,24
Argyle,3523,Greater Bendigo City Council,Eppalock,50201,Rodney,75,Northern Victoria,4,133,203
Armadale,3143,Stonnington City Council,South,51203,Malvern,49,Southern Metropolitan,6,4611,6192
Armadale,3143,Stonnington City Council,South,51203,Prahran,71,Southern Metropolitan,6,143,174
Armstrong,3377,Ararat Rural City Council,Unsubdivided,51401,Ripon,74,Western Victoria,8,36,69
Armstrong Creek,3217,Greater Geelong City Council,Buckley,50604,South Barwon,80,Western Victoria,8,369,535
Arnold,3551,Loddon Shire Council,Tarnagulla,56503,Bendigo West,11,Northern Victoria,4,22,41
Arnold,3551,Loddon Shire Council,Tarnagulla,56503,Swan Hill,82,Northern Victoria,4,3,5
Arnold West,3551,Loddon Shire Council,Tarnagulla,56503,Swan Hill,82,Northern Victoria,4,10,15
Arthurs Creek,3099,Nillumbik Shire Council,Bunjil,55802,Yan Yean,87,Northern Metropolitan,3,172,353
Arthurs Seat,3936,Mornington Peninsula Shire Council,Red Hill,55704,Nepean,65,Eastern Victoria,2,53,81
Arthurs Seat,3936,Mornington Peninsula Shire Council,Seawinds,55705,Nepean,65,Eastern Victoria,2,149,220
Ascot,3364,Ballarat City Council,North,50302,Ripon,74,Western Victoria,8,33,70
Ascot,3551,Greater Bendigo City Council,Whipstick,50203,Bendigo East,10,Northern Victoria,4,647,1271
Ascot Vale,3032,Moonee Valley City Council,Myrnong,55602,Essendon,28,Western Metropolitan,7,5952,9212
Ascot Vale,3032,Moonee Valley City Council,Myrnong,55602,Melbourne,50,Northern Metropolitan,3,122,168
Ashbourne,3442,Macedon Ranges Shire Council,West,56603,Ballarat East,3,Western Victoria,8,3,5
Ashbourne,3442,Macedon Ranges Shire Council,West,56603,Macedon,48,Northern Victoria,4,92,164
Ashburton,3147,Boroondara City Council,Solway,50709,Burwood,19,Southern Metropolitan,6,2995,5213
Ashwood,3147,Monash City Council,Mount Waverley,55502,Burwood,19,Southern Metropolitan,6,2670,4205
Aspendale,3195,Kingston City Council,South,54903,Carrum,20,South Eastern Metropolitan,5,2717,4838
Aspendale Gardens,3195,Kingston City Council,South,54903,Carrum,20,South Eastern Metropolitan,5,2230,4694
Athlone,3818,Baw Baw Shire Council,Mount Worth,53502,Narracan,62,Eastern Victoria,2,55,95
Attwood,3049,Hume City Council,Meadow Valley,54803,Yuroke,88,Western Metropolitan,7,1073,2323
Aubrey,3393,Yarriambiack Shire Council,Warracknabeal,57603,Swan Hill,82,Northern Victoria,4,5,6
Auchmore,3570,Loddon Shire Council,Terrick,56504,Swan Hill,82,Northern Victoria,4,2,4
Avalon,3212,Greater Geelong City Council,Windermere,50612,Lara,45,Western Victoria,8,97,167
Avenel,3664,Mitchell Shire Council,North,52802,Seymour,78,Northern Victoria,4,6,9
Avenel,3664,Strathbogie Shire Council,Hughes Creek,53102,Benalla,8,Northern Victoria,4,474,729
Avoca,3467,Pyrenees Shire Council,Avoca,51901,Ripon,74,Western Victoria,8,650,922
Avon Plains,3477,Northern Grampians Shire Council,Central,57401,Swan Hill,82,Northern Victoria,4,6,8
Avondale Heights,3034,Moonee Valley City Council,Rose Hill,55603,Niddrie,66,Western Metropolitan,7,4272,8288
Avonmore,3559,Greater Bendigo City Council,Whipstick,50203,Bendigo East,10,Northern Victoria,4,8,9
Avonmore,3559,Greater Bendigo City Council,Whipstick,50203,Rodney,75,Northern Victoria,4,17,27
Avonsleigh,3782,Cardinia Shire Council,Ranges,54303,Gembrook,35,Eastern Victoria,2,328,632
Axe Creek,3551,Greater Bendigo City Council,Eppalock,50201,Bendigo East,10,Northern Victoria,4,122,241
Axedale,3551,Greater Bendigo City Council,Eppalock,50201,Bendigo East,10,Northern Victoria,4,255,423
Axedale,3551,Greater Bendigo City Council,Eppalock,50201,Rodney,75,Northern Victoria,4,36,62
Ayrford,3268,Corangamite Shire Council,South-West,51605,Polwarth,70,Western Victoria,8,5,12
Ayrford,3268,Moyne Shire Council,Unsubdivided,51801,Polwarth,70,Western Victoria,8,11,25
Bacchus Marsh,3340,Moorabool Shire Council,East Moorabool,50402,Melton,51,Western Victoria,8,2614,4321
Baddaginnie,3670,Benalla Rural City Council,Unsubdivided,57901,Benalla,8,Northern Victoria,4,136,220
Baddaginnie,3670,Strathbogie Shire Council,Honeysuckle Creek,53101,Benalla,8,Northern Victoria,4,13,24
Badger Creek,3777,Yarra Ranges Shire Council,Ryrie,56207,Seymour,78,Northern Victoria,4,640,1165
Bael Bael,3579,Gannawarra Shire Council,Avoca,57201,Swan Hill,82,Northern Victoria,4,5,8
Bagshot,3551,Greater Bendigo City Council,Whipstick,50203,Bendigo East,10,Northern Victoria,4,109,250
Bagshot North,3551,Greater Bendigo City Council,Whipstick,50203,Bendigo East,10,Northern Victoria,4,22,28
Bahgallah,3312,Glenelg Shire Council,Unsubdivided,51701,Lowan,46,Western Victoria,8,24,41
Bailieston,3608,Strathbogie Shire Council,Lake Nagambie,53103,Benalla,8,Northern Victoria,4,60,94
Bairnsdale,3875,East Gippsland Shire Council,Unsubdivided,53601,Gippsland East,36,Eastern Victoria,2,3758,5171
Bakery Hill,3350,Ballarat City Council,Central,50301,Ballarat East,3,Western Victoria,8,82,102
Bakery Hill,3350,Ballarat City Council,Central,50301,Ballarat West,4,Western Victoria,8,11,12
Balaclava,3183,Port Phillip City Council,Carlisle,51102,Caulfield,21,Southern Metropolitan,6,1858,2130
Balaclava,3183,Port Phillip City Council,Carlisle,51102,Prahran,71,Southern Metropolitan,6,1023,1180
Bald Hills,3364,Ballarat City Council,North,50302,Ripon,74,Western Victoria,8,36,69
Bald Hills,3364,Hepburn Shire Council,Creswick,56404,Ballarat East,3,Western Victoria,8,4,10
Balintore,3249,Colac Otway Shire Council,Unsubdivided,51501,Polwarth,70,Western Victoria,8,33,43
Ballan,3342,Moorabool Shire Council,Central Moorabool,50401,Ballarat East,3,Western Victoria,8,1135,1988
Ballangeich,3279,Moyne Shire Council,Unsubdivided,51801,Polwarth,70,Western Victoria,8,24,34
Ballangeich,3279,Moyne Shire Council,Unsubdivided,51801,South-West Coast,81,Western Victoria,8,7,15
Ballapur,3483,Buloke Shire Council,Mount Jeffcott,57103,Swan Hill,82,Northern Victoria,4,7,13
Ballarat Central,3350,Ballarat City Council,Central,50301,Ballarat East,3,Western Victoria,8,1120,1437
Ballarat Central,3350,Ballarat City Council,Central,50301,Ballarat West,4,Western Victoria,8,1800,2476
Ballarat Central,3350,Ballarat City Council,North,50302,Ballarat West,4,Western Victoria,8,24,25
Ballarat East,3350,Ballarat City Council,Central,50301,Ballarat East,3,Western Victoria,8,1327,2017
Ballarat East,3350,Ballarat City Council,Central,50301,Ballarat West,4,Western Victoria,8,809,1214
Ballarat East,3350,Ballarat City Council,South,50303,Ballarat East,3,Western Victoria,8,398,646
Ballarat North,3350,Ballarat City Council,North,50302,Ballarat West,4,Western Victoria,8,1835,2996
Ballendella,3561,Campaspe Shire Council,Rochester,52303,Rodney,75,Northern Victoria,4,31,65
Ballendella,3561,Campaspe Shire Council,Western,52305,Rodney,75,Northern Victoria,4,19,35
Balliang,3340,Greater Geelong City Council,Windermere,50612,Lara,45,Western Victoria,8,59,100
Balliang,3340,Moorabool Shire Council,Central Moorabool,50401,Ballarat East,3,Western Victoria,8,4,10
Balliang,3340,Moorabool Shire Council,Central Moorabool,50401,Melton,51,Western Victoria,8,39,95
Balliang East,3340,Moorabool Shire Council,Central Moorabool,50401,Melton,51,Western Victoria,8,53,118
Ballyrogan,3375,Ararat Rural City Council,Unsubdivided,51401,Ripon,74,Western Victoria,8,26,51
Balmattum,3666,Strathbogie Shire Council,Honeysuckle Creek,53101,Benalla,8,Northern Victoria,4,29,58
Balmattum,3666,Strathbogie Shire Council,Mount Wombat,53104,Benalla,8,Northern Victoria,4,10,14
Balmattum,3666,Strathbogie Shire Council,Seven Creeks,53105,Benalla,8,Northern Victoria,4,7,14
Balmoral,3407,Southern Grampians Shire Council,Unsubdivided,52001,Lowan,46,Western Victoria,8,155,225
Balnarring,3926,Mornington Peninsula Shire Council,Cerberus,55702,Hastings,38,Eastern Victoria,2,120,227
Balnarring,3926,Mornington Peninsula Shire Council,Red Hill,55704,Hastings,38,Eastern Victoria,2,801,1389
Balnarring,3926,Mornington Peninsula Shire Council,Red Hill,55704,Nepean,65,Eastern Victoria,2,15,21
Balnarring Beach,3926,Mornington Peninsula Shire Council,Red Hill,55704,Hastings,38,Eastern Victoria,2,290,352
Balook,3971,Wellington Shire Council,Unsubdivided,53901,Gippsland South,37,Eastern Victoria,2,4,5
Balwyn,3103,Boroondara City Council,Cotham,50702,Kew,42,Southern Metropolitan,6,1008,1875
Balwyn,3103,Boroondara City Council,Maling,50707,Box Hill,13,Eastern Metropolitan,1,506,729
Balwyn,3103,Boroondara City Council,Maling,50707,Kew,42,Southern Metropolitan,6,445,822
Balwyn,3103,Boroondara City Council,Maranoa,50708,Box Hill,13,Eastern Metropolitan,1,2430,3949
Balwyn,3103,Boroondara City Council,Maranoa,50708,Kew,42,Southern Metropolitan,6,1009,1792
Balwyn North,3104,Boroondara City Council,Bellevue,50701,Box Hill,13,Eastern Metropolitan,1,1383,2648
Balwyn North,3104,Boroondara City Council,Bellevue,50701,Kew,42,Southern Metropolitan,6,2262,4369
Balwyn North,3104,Boroondara City Council,Cotham,50702,Kew,42,Southern Metropolitan,6,1226,2068
Balwyn North,3104,Boroondara City Council,Maranoa,50708,Box Hill,13,Eastern Metropolitan,1,2068,3885
Balwyn North,3104,Boroondara City Council,Maranoa,50708,Kew,42,Southern Metropolitan,6,665,1300
Balwyn North,3104,Whitehorse City Council,Elgar,55902,Box Hill,13,Eastern Metropolitan,1,90,146
Bamawm,3561,Campaspe Shire Council,Rochester,52303,Rodney,75,Northern Victoria,4,11,23
Bamawm,3561,Campaspe Shire Council,Western,52305,Rodney,75,Northern Victoria,4,211,363
Bamawm Extension,3564,Campaspe Shire Council,Western,52305,Rodney,75,Northern Victoria,4,93,156
Bambra,3241,Surf Coast Shire Council,Winchelsea,50104,Polwarth,70,Western Victoria,8,51,84
Bamganie,3333,Golden Plains Shire Council,Unsubdivided,50501,Ballarat East,3,Western Victoria,8,5,7
Bamganie,3333,Golden Plains Shire Council,Unsubdivided,50501,Polwarth,70,Western Victoria,8,8,25
Bandiana,3691,Wodonga City Council,Unsubdivided,53301,Benambra,9,Northern Victoria,4,135,282
Bangerang,3393,Yarriambiack Shire Council,Warracknabeal,57603,Swan Hill,82,Northern Victoria,4,27,51
Bangholme,3175,Greater Dandenong City Council,Red Gum,54703,Lyndhurst,47,South Eastern Metropolitan,5,514,717
Banksia Peninsula,3875,East Gippsland Shire Council,Unsubdivided,53601,Gippsland East,36,Eastern Victoria,2,14,25
Bannerton,3549,Swan Hill Rural City Council,Robinvale,57004,Mildura,52,Northern Victoria,4,16,22
Bannockburn,3331,Golden Plains Shire Council,Unsubdivided,50501,Polwarth,70,Western Victoria,8,1524,2982
Banyan,3485,Buloke Shire Council,Mallee,57102,Swan Hill,82,Northern Victoria,4,9,20
Banyena,3388,Northern Grampians Shire Council,Central,57401,Swan Hill,82,Northern Victoria,4,12,22
Baranduda,3691,Wodonga City Council,Unsubdivided,53301,Benambra,9,Northern Victoria,4,670,1372
Barfold,3444,Mount Alexander Shire Council,Coliban,56703,Bendigo West,11,Northern Victoria,4,36,63
Baringhup,3463,Mount Alexander Shire Council,Tarrengower,56705,Bendigo West,11,Northern Victoria,4,87,163
Baringhup West,3463,Mount Alexander Shire Council,Tarrengower,56705,Bendigo West,11,Northern Victoria,4,8,17
Barjarg,3723,Mansfield Shire Council,Bonnie Doon,58001,Benalla,8,Northern Victoria,4,7,15
Barjarg,3723,Mansfield Shire Council,Tolmie,58004,Benalla,8,Northern Victoria,4,47,96
Barkers Creek,3451,Mount Alexander Shire Council,Calder,56701,Bendigo West,11,Northern Victoria,4,182,316
Barkly,3384,Northern Grampians Shire Council,Central,57401,Swan Hill,82,Northern Victoria,4,1,2
Barkly,3384,Pyrenees Shire Council,De Cameron,51903,Ripon,74,Western Victoria,8,25,26
Barkstead,3364,Moorabool Shire Council,Woodlands,50404,Ballarat East,3,Western Victoria,8,18,31
Barmah,3639,Moira Shire Council,Unsubdivided,52901,Rodney,75,Northern Victoria,4,145,236
Barnadown,3557,Greater Bendigo City Council,Whipstick,50203,Bendigo East,10,Northern Victoria,4,9,20
Barnawartha,3688,Indigo Shire Council,Unsubdivided,52601,Benambra,9,Northern Victoria,4,333,612
Barnawartha North,3691,Wodonga City Council,Unsubdivided,53301,Benambra,9,Northern Victoria,4,59,132
Baromi,3871,South Gippsland Shire Council,Tarwin Valley,53803,Gippsland South,37,Eastern Victoria,2,57,100
Barongarook,3249,Colac Otway Shire Council,Unsubdivided,51501,Polwarth,70,Western Victoria,8,175,324
Barongarook West,3249,Colac Otway Shire Council,Unsubdivided,51501,Polwarth,70,Western Victoria,8,108,180
Barrabool,3221,Surf Coast Shire Council,Winchelsea,50104,South Barwon,80,Western Victoria,8,80,170
Barrakee,3525,Buloke Shire Council,Lower Avoca,57101,Swan Hill,82,Northern Victoria,4,6,15
Barramunga,3249,Colac Otway Shire Council,Unsubdivided,51501,Polwarth,70,Western Victoria,8,11,11
Barraport,3537,Loddon Shire Council,Boort,56501,Swan Hill,82,Northern Victoria,4,19,21
Barraport West,3537,Loddon Shire Council,Boort,56501,Swan Hill,82,Northern Victoria,4,7,11
Barrys Reef,3458,Moorabool Shire Council,Woodlands,50404,Melton,51,Western Victoria,8,18,23
Barunah Park,3329,Golden Plains Shire Council,Unsubdivided,50501,Polwarth,70,Western Victoria,8,15,28
Barunah Plains,3329,Colac Otway Shire Council,Unsubdivided,51501,Polwarth,70,Western Victoria,8,2,4
Barwidgee,3737,Alpine Shire Council,Unsubdivided,52201,Benalla,8,Northern Victoria,4,32,53
Barwidgee,3737,Alpine Shire Council,Unsubdivided,52201,Benambra,9,Northern Victoria,4,9,20
Barwite,3722,Mansfield Shire Council,Tolmie,58004,Benalla,8,Northern Victoria,4,102,179
Barwon Downs,3243,Colac Otway Shire Council,Unsubdivided,51501,Polwarth,70,Western Victoria,8,101,118
Barwon Heads,3227,Greater Geelong City Council,Buckley,50604,South Barwon,80,Western Victoria,8,1873,2760
Basalt,3460,Hepburn Shire Council,Birch,56401,Ballarat East,3,Western Victoria,8,11,17
Bass,3991,Bass Coast Shire Council,Anderson,53401,Bass,5,Eastern Victoria,2,14,27
Bass,3991,Bass Coast Shire Council,Leadbeater,53404,Bass,5,Eastern Victoria,2,160,234
Batesford,3213,Golden Plains Shire Council,Unsubdivided,50501,Polwarth,70,Western Victoria,8,177,397
Batesford,3213,Greater Geelong City Council,Cowie,50608,Lara,45,Western Victoria,8,86,217
Batesford,3213,Greater Geelong City Council,Kildare,50611,Polwarth,70,Western Victoria,8,6,12
Bathumi,3730,Moira Shire Council,Unsubdivided,52901,Murray Valley,61,Northern Victoria,4,26,52
Baw Baw,3833,Baw Baw Shire Council,North,53503,Narracan,62,Eastern Victoria,2,1,1
Baw Baw Village,3833,Unincorporated Land (victoria),Not Resident In Any Municipality,99901,Narracan,62,Eastern Victoria,2,1,2
Baxter,3911,Mornington Peninsula Shire Council,Watson,55706,Hastings,38,Eastern Victoria,2,919,1557
Bayindeen,3375,Ararat Rural City Council,Unsubdivided,51401,Ripon,74,Western Victoria,8,9,14
Bayles,3981,Cardinia Shire Council,Port,54302,Bass,5,Eastern Victoria,2,179,301
Baynton,3444,Macedon Ranges Shire Council,East,56601,Macedon,48,Northern Victoria,4,42,76
Baynton East,3444,Macedon Ranges Shire Council,East,56601,Macedon,48,Northern Victoria,4,3,3
Bayswater,3153,Knox City Council,Baird,55001,Bayswater,6,Eastern Metropolitan,1,674,1049
Bayswater,3153,Knox City Council,Collier,55003,Bayswater,6,Eastern Metropolitan,1,346,640
Bayswater,3153,Knox City Council,Dinsdale,55004,Bayswater,6,Eastern Metropolitan,1,3668,5936
Bayswater North,3153,Maroondah City Council,Arrabri,55301,Bayswater,6,Eastern Metropolitan,1,391,508
Bayswater North,3153,Maroondah City Council,Arrabri,55301,Kilsyth,43,Eastern Metropolitan,1,3090,5371
Beaconsfield,3807,Cardinia Shire Council,Ranges,54303,Bass,5,Eastern Victoria,2,37,83
Beaconsfield,3807,Cardinia Shire Council,Ranges,54303,Gembrook,35,Eastern Victoria,2,1992,4006
Beaconsfield,3807,Cardinia Shire Council,Ranges,54303,Narre Warren South,64,South Eastern Metropolitan,5,12,28
Beaconsfield,3807,Casey City Council,Edrington,54402,Narre Warren South,64,South Eastern Metropolitan,5,159,307
Beaconsfield Upper,3808,Cardinia Shire Council,Ranges,54303,Gembrook,35,Eastern Victoria,2,958,2017
Bealiba,3475,Central Goldfields Shire Council,Flynn,56301,Ripon,74,Western Victoria,8,122,155
Bearii,3641,Moira Shire Council,Unsubdivided,52901,Murray Valley,61,Northern Victoria,4,81,115
Bearii,3641,Moira Shire Council,Unsubdivided,52901,Rodney,75,Northern Victoria,4,16,20
Bears Lagoon,3517,Loddon Shire Council,Terrick,56504,Swan Hill,82,Northern Victoria,4,28,46
Beauchamp,3579,Gannawarra Shire Council,Avoca,57201,Swan Hill,82,Northern Victoria,4,14,25
Beauchamp,3579,Swan Hill Rural City Council,Lakes,57002,Swan Hill,82,Northern Victoria,4,3,3
Beaufort,3373,Pyrenees Shire Council,Beaufort,51902,Ripon,74,Western Victoria,8,755,1125
Beaumaris,3193,Bayside City Council,Southern,54103,Sandringham,76,Southern Metropolitan,6,5183,9738
Beazleys Bridge,3477,Northern Grampians Shire Council,Kara Kara,57402,Swan Hill,82,Northern Victoria,4,11,19
Beeac,3251,Colac Otway Shire Council,Unsubdivided,51501,Polwarth,70,Western Victoria,8,197,289
Beech Forest,3237,Colac Otway Shire Council,Unsubdivided,51501,Polwarth,70,Western Victoria,8,70,72
Beechworth,3747,Indigo Shire Council,Unsubdivided,52601,Benambra,9,Northern Victoria,4,1725,2740
Beenak,3139,Yarra Ranges Shire Council,O'Shannassy,56206,Gembrook,35,Eastern Victoria,2,13,22
Belgrave,3160,Yarra Ranges Shire Council,Lyster,56204,Gembrook,35,Eastern Victoria,2,1161,2113
Belgrave,3160,Yarra Ranges Shire Council,Lyster,56204,Monbulk,55,Eastern Victoria,2,409,723
Belgrave Heights,3160,Yarra Ranges Shire Council,Lyster,56204,Gembrook,35,Eastern Victoria,2,486,988
Belgrave South,3160,Yarra Ranges Shire Council,Lyster,56204,Gembrook,35,Eastern Victoria,2,578,1284
Bell Park,3215,Greater Geelong City Council,Cowie,50608,Geelong,34,Western Victoria,8,2111,3340
Bell Park,3215,Greater Geelong City Council,Cowie,50608,Lara,45,Western Victoria,8,187,334
Bell Post Hill,3215,Greater Geelong City Council,Cowie,50608,Lara,45,Western Victoria,8,2120,3749
Bell Post Hill,3215,Greater Geelong City Council,Windermere,50612,Lara,45,Western Victoria,8,1,2
